090020081A-8,8,Chemin de Saint-Roch,09600,Aigues-Vives,C+O,42.997139,1.881479
090020081A-9,9,Chemin de Saint-Roch,09600,Aigues-Vives,C+O,42.997006,1.881488
090020086F-2,2,Chemin de la Serre,09600,Aigues-Vives,C+O,42.997830,1.872367
090020086F-3,3,Chemin de la Serre,09600,Aigues-Vives,C+O,42.996669,1.874441
090020086F-5,5,Chemin de la Serre,09600,Aigues-Vives,C+O,42.997859,1.871267
090020086F-5A,5A,Chemin de la Serre,09600,Aigues-Vives,C+O,42.997698,1.868905
090020087G-11,11,Chemin des Sports,09600,Aigues-Vives,C+O,43.000105,1.876480
090020087G-1,1,Chemin des Sports,09600,Aigues-Vives,C+O,42.998312,1.876589
090020087G-2,2,Chemin des Sports,09600,Aigues-Vives,C+O,42.998614,1.876763
090020087G-3,3,Chemin des Sports,09600,Aigues-Vives,C+O,42.999501,1.876801
090020087G-4,4,Chemin des Sports,09600,Aigues-Vives,C+O,42.999943,1.875957
090020087G-5,5,Chemin des Sports,09600,Aigues-Vives,C+O,42.999695,1.876133
090020087G-7,7,Chemin des Sports,09600,Aigues-Vives,C+O,42.999904,1.875601
090020089J-10,10,Chemin de Tabre,09600,Aigues-Vives,C+O,42.994430,1.872764
090020089J-11,11,Chemin de Tabre,09600,Aigues-Vives,C+O,42.994367,1.872855
090020089J-13,13,Chemin de Tabre,09600,Aigues-Vives,C+O,42.994424,1.872530
090020089J-15,15,Chemin de Tabre,09600,Aigues-Vives,C+O,42.994542,1.871857
090020089J-183,183,Chemin de Tabre,09600,Aigues-Vives,C+O,42.994677,1.873616
090020089J-188,188,Chemin de Tabre,09600,Aigues-Vives,C+O,42.994576,1.871669
090020089J-2,2,Chemin de Tabre,09600,Aigues-Vives,C+O,42.994307,1.874553
090020089J-25,25,Chemin de Tabre,09600,Aigues-Vives,C+O,42.993716,1.872022
090020089J-29,29,Chemin de Tabre,09600,Aigues-Vives,C+O,42.993553,1.872745
090020089J-4,4,Chemin de Tabre,09600,Aigues-Vives,C+O,42.994302,1.874424
090020089J-5,5,Chemin de Tabre,09600,Aigues-Vives,C+O,42.993720,1.873769
090020089J-6B,6BIS,Chemin de Tabre,09600,Aigues-Vives,C+O,42.995054,1.873705
090020089J-7,7,Chemin de Tabre,09600,Aigues-Vives,C+O,42.994252,1.873492
090020089J-8,8,Chemin de Tabre,09600,Aigues-Vives,C+O,42.994303,1.873447
090020089J-9,9,Chemin de Tabre,09600,Aigues-Vives,C+O,42.994312,1.873164
090030020E-10,10,Route de Bélesta,09300,L'Aiguillon,C+O,42.914963,1.905607
090030020E-11,11,Route de Bélesta,09300,L'Aiguillon,C+O,42.915535,1.907841
090030020E-1,1,Route de Bélesta,09300,L'Aiguillon,C+O,42.915680,1.905106
090030020E-12,12,Route de Bélesta,09300,L'Aiguillon,C+O,42.914758,1.905602
090030020E-13,13,Route de Bélesta,09300,L'Aiguillon,C+O,42.915399,1.908223
090030020E-14,14,Route de Bélesta,09300,L'Aiguillon,C+O,42.914334,1.905477
090030020E-15,15,Route de Bélesta,09300,L'Aiguillon,C+O,42.915046,1.908216
090030020E-17,17,Route de Bélesta,09300,L'Aiguillon,C+O,42.915438,1.908518
090030020E-18,18,Route de Bélesta,09300,L'Aiguillon,C+O,42.914721,1.906478
090030020E-19,19,Route de Bélesta,09300,L'Aiguillon,C+O,42.915343,1.908675
090030020E-20,20,Route de Bélesta,09300,L'Aiguillon,C+O,42.914477,1.906694
090030020E-202,202,Route de Bélesta,09300,L'Aiguillon,C+O,42.913842,1.913577
090030020E-2,2,Route de Bélesta,09300,L'Aiguillon,C+O,42.915457,1.904849
090030020E-3,3,Route de Bélesta,09300,L'Aiguillon,C+O,42.915376,1.906057
090030020E-4,4,Route de Bélesta,09300,L'Aiguillon,C+O,42.915331,1.904497
090030020E-5,5,Route de Bélesta,09300,L'Aiguillon,C+O,42.915370,1.906707
